id,complex
G7460-MONOMER,
G7504-MONOMER,
G7509-MONOMER,
G7512-MONOMER,
G7528-MONOMER,
G7534-MONOMER,
G7539-MONOMER,
G7549-MONOMER,
G7559-MONOMER,
G7577-MONOMER,
G7588-MONOMER,
G7589-MONOMER,
G7595-MONOMER,
G7607-MONOMER,
G7608-MONOMER,
G7609-MONOMER,
G7612-MONOMER,
G7613-MONOMER,
G7615-MONOMER,
G7617-MONOMER,
G7618-MONOMER,
G7645-MONOMER,
G7655-MONOMER,
G7664-MONOMER,CPLX0-7992
G7667-MONOMER,
G7668-MONOMER,
G7681-MONOMER,
G7685-MONOMER,CPLX0-4
G7705-MONOMER,CPLX0-3382
G7711-MONOMER,CPLX0-3382
G7718-MONOMER,
G7721-MONOMER,
G7729-MONOMER,
G7741-MONOMER,
G7745-MONOMER,
G7753-MONOMER,
G7808-MONOMER,TATABCE-CPLX
G7825-MONOMER,
G7832-MONOMER,
G7839-MONOMER,
G7849-MONOMER,
G7867-MONOMER,
G7873-MONOMER,
G7887-MONOMER,
G7888-MONOMER,CPLX0-7992
G7889-MONOMER,CPLX0-7992
G7926-MONOMER,
G7927-MONOMER,
G7929-MONOMER,
G7930-MONOMER,
G7933-MONOMER,
G7942-MONOMER,
G7946-MONOMER,
GABP-MONOMER,
GALP-MONOMER,
GATC-MONOMER,CPLX0-231
GLCNACPTRANS-MONOMER,CPLX0-8011
GLNP-MONOMER,ABC-12-CPLX
GLNQ-MONOMER,ABC-12-CPLX
GLPF-MONOMER,CPLX0-7654
GLPT-MONOMER,
GLTJ-MONOMER,ABC-13-CPLX
GLTK-MONOMER,ABC-13-CPLX
GLTP-MONOMER,
GLTS-MONOMER,
GLVC-MONOMER,
GLYCEROL-3-P-ACYLTRANSFER-MONOMER,
GNTP-MONOMER,
GNTT-MONOMER,
GNTU-MONOMER,
GUTA-MONOMER,CPLX-169
HCAT-MONOMER,
HEMEOSYN-MONOMER,
HISM-MONOMER,ABC-14-CPLX
HISM-MONOMER,ABC-3-CPLX
HISQ-MONOMER,ABC-14-CPLX
HISQ-MONOMER,ABC-3-CPLX
HRSA-MONOMER,
HYAC-MONOMER,CPLX0-8167
HYAC-MONOMER,FORMHYDROGI-CPLX
HYCC-MONOMER,FHLMULTI-CPLX
HYCC-MONOMER,HYDROG3-CPLX
HYCD-MONOMER,FHLMULTI-CPLX
HYCD-MONOMER,HYDROG3-CPLX
HYDH-MONOMER,
KCH-MONOMER,CPLX0-7674
KDGT-MONOMER,
KDOTRANS-MONOMER,
KDPB-MONOMER,ATPASE-1-CPLX
KDPD-MONOMER,KDPD-CPLX
KEFB-MONOMER,
KEFC-MONOMER,CPLX0-7819
KGTP-MONOMER,
KUP-MONOMER,
L-LACTDEHYDROGFMN-MONOMER,
LACY-MONOMER,
LAUROYLACYLTRAN-MONOMER,
LCTP-MONOMER,
LIPIDADISACCHARIDESYNTH-MONOMER,CPLX0-7415
LIVH-MONOMER,ABC-15-CPLX
LIVH-MONOMER,ABC-304-CPLX
LIVM-MONOMER,ABC-15-CPLX
LIVM-MONOMER,ABC-304-CPLX
LYSP-MONOMER,
MACA,TRANS-200-CPLX
MACB,TRANS-200-CPLX
MALF-MONOMER,ABC-16-CPLX
MALG-MONOMER,ABC-16-CPLX
MALX-MONOMER,
MANX-MONOMER,CPLX-165
MANX-MONOMER,CPLX0-7921
MANY-MONOMER,CPLX-165
MANZ-MONOMER,CPLX-165
MDLA-MONOMER,
MDLB-MONOMER,
MELB-MONOMER,
